epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.5663,1.20711,2.27231,1.5034,0.63811,0.42109,0.52314,0.34009,1.34378,2.62581,1.65616,0.0670701,0.000332626,0.000332626
2,150.565,1.10383,1.52909,1.37119,0.54093,0.60211,0.6336,0.44863,1.1408,1.85502,1.44497,0.0340569,0.000652773,0.000652773
3,220.208,0.98583,1.17868,1.2899,0.58548,0.63694,0.68046,0.47994,1.086,1.48778,1.41485,0.00103049,0.00095972,0.00095972
4,289.177,0.88889,0.9535,1.22064,0.66441,0.76566,0.77949,0.57087,1.0528,1.17477,1.37408,0.0009406,0.0009406,0.0009406
5,357.918,0.81002,0.76954,1.16375,0.68768,0.74171,0.79399,0.59007,0.96947,1.10428,1.31851,0.0009208,0.0009208,0.0009208
6,426.833,0.73141,0.66301,1.11077,0.73716,0.7163,0.80245,0.59841,0.97055,1.07252,1.33524,0.000901,0.000901,0.000901
7,495.677,0.70566,0.59751,1.09277,0.82893,0.78486,0.8727,0.66191,0.91833,0.91802,1.2566,0.0008812,0.0008812,0.0008812
8,564.638,0.65029,0.53378,1.05321,0.80358,0.81163,0.87915,0.68906,0.87334,0.86765,1.25018,0.0008614,0.0008614,0.0008614
9,634.015,0.61227,0.4856,1.0279,0.80121,0.80992,0.87288,0.67748,0.86379,0.86476,1.23332,0.0008416,0.0008416,0.0008416
10,702.943,0.58743,0.44722,1.01069,0.80419,0.78206,0.85717,0.66286,0.88357,0.93087,1.24943,0.0008218,0.0008218,0.0008218
11,772.204,0.55402,0.43114,0.9922,0.8512,0.82025,0.88338,0.69787,0.85106,0.7918,1.24271,0.000802,0.000802,0.000802
12,840.821,0.53305,0.40054,0.97462,0.83605,0.77173,0.87507,0.68343,0.87068,0.81262,1.26932,0.0007822,0.0007822,0.0007822
13,909.734,0.50961,0.38409,0.96112,0.80679,0.78643,0.88102,0.6939,0.83751,0.85346,1.26574,0.0007624,0.0007624,0.0007624
14,978.159,0.49371,0.36355,0.94869,0.84143,0.84,0.90051,0.70402,0.86609,0.77132,1.27681,0.0007426,0.0007426,0.0007426
15,1047.44,0.47575,0.347,0.93811,0.84939,0.80636,0.89021,0.70215,0.87016,0.77274,1.27561,0.0007228,0.0007228,0.0007228
16,1116.07,0.456,0.33471,0.92464,0.81597,0.80745,0.89098,0.69926,0.83963,0.75619,1.24753,0.000703,0.000703,0.000703
17,1185.05,0.44002,0.32293,0.91564,0.87756,0.82682,0.91825,0.72163,0.84244,0.71564,1.27098,0.0006832,0.0006832,0.0006832
18,1254.09,0.42458,0.30929,0.90647,0.83067,0.84196,0.88904,0.69379,0.85669,0.7387,1.30009,0.0006634,0.0006634,0.0006634
19,1322.83,0.40572,0.29986,0.8963,0.79672,0.85713,0.89769,0.7158,0.84084,0.71674,1.25057,0.0006436,0.0006436,0.0006436
20,1391.77,0.39289,0.28227,0.88792,0.79275,0.8623,0.88482,0.71121,0.83143,0.73338,1.26161,0.0006238,0.0006238,0.0006238
21,1460.58,0.37863,0.27315,0.88152,0.83988,0.85923,0.90699,0.71286,0.83335,0.70177,1.27545,0.000604,0.000604,0.000604
22,1529.04,0.36742,0.26599,0.875,0.7935,0.85174,0.89361,0.71043,0.82148,0.70466,1.26673,0.0005842,0.0005842,0.0005842
23,1597.88,0.35556,0.25795,0.86864,0.80488,0.88416,0.90848,0.72149,0.82234,0.70227,1.26834,0.0005644,0.0005644,0.0005644
24,1666.58,0.34381,0.25298,0.86187,0.8218,0.8417,0.90293,0.71619,0.83847,0.72085,1.29981,0.0005446,0.0005446,0.0005446
25,1735.61,0.33575,0.24756,0.85845,0.8431,0.86781,0.90933,0.73717,0.81288,0.65335,1.26462,0.0005248,0.0005248,0.0005248
