epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.073,1.2122,2.40221,1.53158,0.38716,0.56232,0.49429,0.30788,1.32141,3.5008,1.64779,0.0670701,0.000332626,0.000332626
2,219.495,1.10009,1.57429,1.40522,0.54126,0.68615,0.67843,0.4729,1.13904,1.58743,1.47286,0.0340371,0.000632994,0.000632994
3,307.974,0.98998,1.20305,1.31808,0.61556,0.55088,0.66723,0.4663,1.12445,1.64451,1.46982,0.000971134,0.000900362,0.000900362
4,395.089,0.88691,0.96281,1.23291,0.64853,0.73994,0.79807,0.59163,0.99579,1.10626,1.34418,0.0008515,0.0008515,0.0008515
5,483.025,0.79839,0.77241,1.1653,0.73094,0.73037,0.83235,0.63824,0.96558,1.06677,1.32396,0.000802,0.000802,0.000802
6,570.707,0.72902,0.65453,1.11473,0.73232,0.83839,0.8602,0.64736,0.91564,0.8921,1.28997,0.0007525,0.0007525,0.0007525
7,658.209,0.68077,0.57274,1.07899,0.74725,0.83724,0.88212,0.68108,0.90787,0.8395,1.27001,0.000703,0.000703,0.000703
8,745.217,0.62864,0.50105,1.04438,0.81809,0.86144,0.90649,0.70497,0.87805,0.8196,1.25733,0.0006535,0.0006535,0.0006535
9,832.882,0.58827,0.45854,1.01749,0.81962,0.83863,0.90681,0.71146,0.84718,0.77131,1.23542,0.000604,0.000604,0.000604
10,920.448,0.5498,0.41675,0.98945,0.86971,0.8415,0.92392,0.72052,0.85233,0.67501,1.24493,0.0005545,0.0005545,0.0005545
11,1009.33,0.51196,0.38112,0.96525,0.83809,0.86995,0.90798,0.7244,0.83396,0.70029,1.2429,0.000505,0.000505,0.000505
12,1097.25,0.47456,0.34965,0.94483,0.83472,0.89742,0.92283,0.74352,0.81346,0.6315,1.23207,0.0004555,0.0004555,0.0004555
13,1185,0.43621,0.31859,0.92074,0.86693,0.83801,0.92023,0.73589,0.80786,0.65419,1.22789,0.000406,0.000406,0.000406
14,1272.2,0.40723,0.29571,0.90222,0.88232,0.88648,0.93119,0.74807,0.81649,0.61119,1.2388,0.0003565,0.0003565,0.0003565
15,1360.03,0.37418,0.27245,0.88506,0.87402,0.88719,0.93454,0.76474,0.7744,0.60373,1.21386,0.000307,0.000307,0.000307
16,1447.65,0.33921,0.25095,0.86745,0.87887,0.85818,0.92988,0.75481,0.80561,0.60851,1.24345,0.0002575,0.0002575,0.0002575
17,1535.37,0.31055,0.23111,0.85455,0.84538,0.90867,0.93683,0.7569,0.80889,0.57088,1.27378,0.000208,0.000208,0.000208
18,1622.98,0.2797,0.21057,0.84077,0.88791,0.88032,0.93137,0.75612,0.80264,0.59588,1.25343,0.0001585,0.0001585,0.0001585
19,1710.4,0.2483,0.19229,0.82839,0.8914,0.87273,0.93678,0.75755,0.78784,0.59049,1.24646,0.000109,0.000109,0.000109
20,1797.93,0.21595,0.17355,0.81745,0.86657,0.89798,0.92983,0.75605,0.79207,0.58231,1.25693,5.95e-05,5.95e-05,5.95e-05
