epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.7309,1.17875,2.42183,1.4582,0.54471,0.4542,0.49274,0.31448,1.26096,2.5701,1.51243,0.0670701,0.000332626,0.000332626
2,140.326,1.02267,1.34989,1.27052,0.64276,0.51192,0.6566,0.45911,1.14934,1.70791,1.42375,0.0340635,0.000659366,0.000659366
3,189.321,0.94246,1.11378,1.20148,0.58492,0.71907,0.74663,0.56157,1.03195,1.30136,1.26678,0.00105028,0.000979506,0.000979506
4,237.067,0.87147,0.90491,1.15103,0.7261,0.74427,0.79807,0.58773,0.98494,1.08425,1.23056,0.0009703,0.0009703,0.0009703
5,285.59,0.79965,0.75453,1.10281,0.67398,0.80043,0.79615,0.58899,0.97352,1.09406,1.22692,0.0009604,0.0009604,0.0009604
6,333.978,0.73611,0.65028,1.05995,0.78861,0.79222,0.86145,0.64376,0.93565,0.90376,1.21792,0.0009505,0.0009505,0.0009505
7,382.184,0.69859,0.57686,1.03508,0.72222,0.75555,0.81094,0.61704,0.91511,1.01769,1.18558,0.0009406,0.0009406,0.0009406
8,430.463,0.65554,0.53699,1.01195,0.72685,0.84833,0.8797,0.67926,0.85583,0.83996,1.15943,0.0009307,0.0009307,0.0009307
9,479.1,0.6254,0.49306,0.99529,0.84387,0.80301,0.88464,0.68415,0.86787,0.84408,1.14942,0.0009208,0.0009208,0.0009208
10,527.81,0.60349,0.46253,0.97937,0.82917,0.84168,0.89582,0.70716,0.84949,0.7761,1.1691,0.0009109,0.0009109,0.0009109
11,576.692,0.56784,0.43918,0.96306,0.79436,0.87076,0.90415,0.70698,0.83488,0.78362,1.15628,0.000901,0.000901,0.000901
12,625.503,0.55025,0.40672,0.94889,0.82559,0.88128,0.92192,0.71823,0.83097,0.71956,1.15868,0.0008911,0.0008911,0.0008911
13,673.743,0.53002,0.3908,0.93904,0.84006,0.85007,0.91451,0.72049,0.81527,0.72148,1.14079,0.0008812,0.0008812,0.0008812
14,722.24,0.50547,0.37881,0.92753,0.87799,0.85158,0.91923,0.72378,0.83524,0.70023,1.16205,0.0008713,0.0008713,0.0008713
15,770.846,0.49261,0.35977,0.91968,0.85836,0.82663,0.90154,0.71483,0.81873,0.71492,1.13808,0.0008614,0.0008614,0.0008614
16,819.195,0.48102,0.35025,0.91431,0.78066,0.87122,0.89555,0.70611,0.8116,0.75945,1.14626,0.0008515,0.0008515,0.0008515
17,867.859,0.46353,0.33907,0.90339,0.83922,0.80894,0.88313,0.70174,0.81413,0.84411,1.13715,0.0008416,0.0008416,0.0008416
18,916.529,0.45055,0.33033,0.89769,0.84817,0.82172,0.89136,0.70428,0.82653,0.72108,1.1732,0.0008317,0.0008317,0.0008317
19,964.944,0.43599,0.31746,0.88944,0.82048,0.87053,0.89868,0.72214,0.78486,0.73874,1.13563,0.0008218,0.0008218,0.0008218
20,1013.44,0.42117,0.30853,0.88336,0.78693,0.85214,0.89663,0.7189,0.81412,0.79952,1.1684,0.0008119,0.0008119,0.0008119
21,1062.12,0.4115,0.2968,0.87954,0.79693,0.89997,0.9171,0.73432,0.78978,0.69007,1.1521,0.000802,0.000802,0.000802
22,1111,0.40444,0.2968,0.87558,0.83047,0.84139,0.9066,0.72967,0.78962,0.70475,1.14812,0.0007921,0.0007921,0.0007921
23,1159.68,0.397,0.297,0.87378,0.85982,0.85941,0.90001,0.71718,0.79302,0.71678,1.15513,0.0007822,0.0007822,0.0007822
24,1208.01,0.39025,0.2848,0.86815,0.83129,0.86349,0.90754,0.7257,0.79167,0.69953,1.15037,0.0007723,0.0007723,0.0007723
25,1256.69,0.38374,0.27984,0.86364,0.84292,0.835,0.90663,0.72195,0.80374,0.74881,1.16636,0.0007624,0.0007624,0.0007624
26,1305.59,0.36862,0.27531,0.86013,0.83378,0.8737,0.90549,0.72882,0.78999,0.73349,1.16741,0.0007525,0.0007525,0.0007525
27,1354.32,0.36347,0.27569,0.85582,0.75365,0.89125,0.89792,0.72234,0.78036,0.72099,1.14972,0.0007426,0.0007426,0.0007426
28,1402.74,0.3598,0.27014,0.85472,0.81453,0.85262,0.89529,0.71156,0.7788,0.78936,1.1388,0.0007327,0.0007327,0.0007327
29,1451.22,0.35032,0.25888,0.84958,0.8515,0.82355,0.91294,0.73426,0.77949,0.72699,1.15594,0.0007228,0.0007228,0.0007228
30,1499.79,0.34652,0.25317,0.84808,0.81808,0.83156,0.90104,0.72938,0.78644,0.74516,1.17759,0.0007129,0.0007129,0.0007129
31,1548.75,0.33439,0.24567,0.84365,0.84534,0.83875,0.88898,0.71755,0.79641,0.75374,1.18922,0.000703,0.000703,0.000703
32,1597.61,0.33176,0.24411,0.84218,0.80668,0.86713,0.89304,0.7277,0.78409,0.72315,1.18099,0.0006931,0.0006931,0.0006931
33,1646.16,0.32303,0.24069,0.83841,0.8466,0.86817,0.92032,0.74011,0.77991,0.68054,1.13596,0.0006832,0.0006832,0.0006832
34,1694.82,0.32119,0.24004,0.83743,0.84369,0.86505,0.90594,0.73235,0.76204,0.73154,1.13108,0.0006733,0.0006733,0.0006733
35,1744.23,0.31321,0.23191,0.83459,0.84018,0.86167,0.91518,0.73188,0.78075,0.70005,1.16134,0.0006634,0.0006634,0.0006634
36,1792.94,0.30808,0.22901,0.83141,0.85744,0.81343,0.9037,0.73017,0.76087,0.73287,1.1526,0.0006535,0.0006535,0.0006535
37,1841.2,0.30419,0.2308,0.82997,0.85415,0.8401,0.90544,0.73536,0.75872,0.72319,1.14449,0.0006436,0.0006436,0.0006436
38,1889.96,0.29488,0.2233,0.82719,0.84421,0.84211,0.90157,0.73147,0.76221,0.7731,1.16982,0.0006337,0.0006337,0.0006337
39,1938.41,0.28919,0.22048,0.82468,0.83177,0.85769,0.89901,0.72589,0.75947,0.70005,1.15968,0.0006238,0.0006238,0.0006238
40,1986.65,0.28638,0.21672,0.82299,0.85567,0.84827,0.90784,0.74153,0.74784,0.68106,1.14296,0.0006139,0.0006139,0.0006139
41,2035.64,0.28351,0.21323,0.82193,0.8778,0.81332,0.91181,0.73074,0.75623,0.71465,1.16398,0.000604,0.000604,0.000604
42,2084.49,0.27856,0.20939,0.82078,0.85578,0.81872,0.89369,0.72598,0.75171,0.75672,1.15904,0.0005941,0.0005941,0.0005941
43,2133.43,0.27,0.20626,0.81757,0.88189,0.82763,0.90127,0.73074,0.75821,0.75266,1.16803,0.0005842,0.0005842,0.0005842
44,2182.36,0.26492,0.1987,0.81578,0.84947,0.81444,0.90066,0.74477,0.76469,0.71848,1.16898,0.0005743,0.0005743,0.0005743
45,2231.3,0.26276,0.20007,0.81492,0.85955,0.83777,0.89283,0.73261,0.76359,0.7286,1.15426,0.0005644,0.0005644,0.0005644
46,2279.89,0.25473,0.19395,0.81247,0.87606,0.8433,0.90513,0.73404,0.75373,0.68088,1.18342,0.0005545,0.0005545,0.0005545
47,2328.78,0.255,0.19204,0.81189,0.89927,0.82846,0.91336,0.74487,0.76406,0.68748,1.16251,0.0005446,0.0005446,0.0005446
48,2377.52,0.25119,0.19089,0.80956,0.84891,0.84297,0.89272,0.73041,0.75983,0.76311,1.16656,0.0005347,0.0005347,0.0005347
49,2426.32,0.24518,0.18571,0.80838,0.8492,0.84903,0.90378,0.73502,0.75164,0.69649,1.16517,0.0005248,0.0005248,0.0005248
50,2475.74,0.23725,0.1807,0.80542,0.86558,0.84429,0.91036,0.74384,0.74914,0.68647,1.17657,0.0005149,0.0005149,0.0005149
51,2524.65,0.23632,0.18287,0.80446,0.83465,0.86408,0.89776,0.73739,0.76619,0.70621,1.19366,0.000505,0.000505,0.000505
52,2573.53,0.23169,0.17966,0.80362,0.8268,0.8689,0.90946,0.74074,0.7553,0.71273,1.16311,0.0004951,0.0004951,0.0004951
53,2622.62,0.22942,0.1758,0.80213,0.86576,0.82285,0.89908,0.73771,0.75274,0.73816,1.15675,0.0004852,0.0004852,0.0004852
54,2671.47,0.22382,0.1727,0.80117,0.85753,0.84923,0.89541,0.73177,0.75214,0.76389,1.17339,0.0004753,0.0004753,0.0004753
55,2720.45,0.21922,0.17046,0.79897,0.85628,0.8373,0.90306,0.73476,0.77007,0.75555,1.19043,0.0004654,0.0004654,0.0004654
56,2769.38,0.2175,0.17135,0.79865,0.82724,0.82781,0.88432,0.72352,0.763,0.777,1.19336,0.0004555,0.0004555,0.0004555
