epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.9955,1.17875,2.42183,1.4582,0.54471,0.4542,0.49274,0.31448,1.26096,2.5701,1.51243,0.0670701,0.000332626,0.000332626
2,112.675,0.99858,1.31091,1.26466,0.6501,0.57392,0.66867,0.46436,1.13796,1.59958,1.40751,0.0340569,0.000652773,0.000652773
3,164.022,0.92972,1.09885,1.20565,0.62549,0.72161,0.74807,0.55228,1.03299,1.30105,1.31102,0.00103049,0.00095972,0.00095972
4,215.786,0.84746,0.87852,1.14624,0.74691,0.74387,0.81311,0.60197,0.96745,1.06333,1.26065,0.0009406,0.0009406,0.0009406
5,266.686,0.77401,0.73792,1.09586,0.67415,0.7932,0.80972,0.60655,0.97251,0.99464,1.25827,0.0009208,0.0009208,0.0009208
6,317.755,0.72229,0.64047,1.06732,0.67128,0.79553,0.82269,0.63445,0.91592,1.05977,1.22176,0.000901,0.000901,0.000901
7,368.723,0.68693,0.56512,1.04252,0.7654,0.81581,0.87813,0.672,0.88336,0.88672,1.22345,0.0008812,0.0008812,0.0008812
8,419.975,0.63394,0.51051,1.00955,0.76215,0.83866,0.88274,0.69595,0.87867,0.82599,1.20442,0.0008614,0.0008614,0.0008614
9,471.087,0.59952,0.46787,0.98965,0.82235,0.8094,0.887,0.69527,0.86592,0.81569,1.18998,0.0008416,0.0008416,0.0008416
10,522.317,0.57706,0.44091,0.97502,0.78889,0.85886,0.90535,0.70288,0.84731,0.73328,1.1831,0.0008218,0.0008218,0.0008218
11,573.621,0.54504,0.41464,0.95611,0.79148,0.83416,0.88521,0.69047,0.84903,0.80706,1.19985,0.000802,0.000802,0.000802
12,624.942,0.52499,0.39302,0.94696,0.82189,0.86338,0.90572,0.71338,0.82747,0.73153,1.17302,0.0007822,0.0007822,0.0007822
13,676.308,0.49846,0.36423,0.92894,0.90193,0.80062,0.91301,0.72548,0.78702,0.69792,1.15077,0.0007624,0.0007624,0.0007624
14,728.009,0.47356,0.35342,0.91881,0.83997,0.82307,0.90871,0.71734,0.80384,0.75058,1.1845,0.0007426,0.0007426,0.0007426
15,779.621,0.45709,0.34282,0.9101,0.85426,0.84311,0.90046,0.71684,0.80562,0.73365,1.17804,0.0007228,0.0007228,0.0007228
16,830.678,0.44216,0.33162,0.90113,0.88264,0.86622,0.93421,0.74463,0.80155,0.65612,1.19016,0.000703,0.000703,0.000703
17,882.075,0.42993,0.31094,0.89404,0.86037,0.85098,0.91337,0.72544,0.79794,0.68389,1.16858,0.0006832,0.0006832,0.0006832
18,933.228,0.40857,0.29842,0.88461,0.89572,0.82676,0.90426,0.72302,0.80197,0.70149,1.17593,0.0006634,0.0006634,0.0006634
19,984.555,0.39281,0.28986,0.87657,0.84233,0.86825,0.92242,0.7386,0.7936,0.67377,1.19008,0.0006436,0.0006436,0.0006436
20,1035.92,0.3832,0.27784,0.87096,0.84496,0.87943,0.91121,0.72776,0.78408,0.65751,1.15667,0.0006238,0.0006238,0.0006238
21,1087,0.37069,0.26496,0.86613,0.85825,0.84802,0.91959,0.74955,0.78236,0.63493,1.17512,0.000604,0.000604,0.000604
22,1138.65,0.35611,0.26417,0.85845,0.88107,0.85997,0.92184,0.7526,0.76949,0.67713,1.16236,0.0005842,0.0005842,0.0005842
23,1190.2,0.34341,0.25601,0.85358,0.89448,0.84521,0.91454,0.74313,0.77235,0.67107,1.17549,0.0005644,0.0005644,0.0005644
24,1241.08,0.33593,0.2456,0.84858,0.86205,0.86268,0.91392,0.73679,0.77994,0.65954,1.17516,0.0005446,0.0005446,0.0005446
25,1292.34,0.32786,0.23947,0.84541,0.85304,0.87128,0.92281,0.74562,0.78311,0.63479,1.1856,0.0005248,0.0005248,0.0005248
26,1343.5,0.31087,0.22795,0.83865,0.8436,0.87922,0.92021,0.74983,0.77018,0.66432,1.19512,0.000505,0.000505,0.000505
27,1394.87,0.30772,0.22471,0.83669,0.88208,0.87673,0.92896,0.75306,0.7537,0.63285,1.15958,0.0004852,0.0004852,0.0004852
28,1446.41,0.29338,0.21934,0.83099,0.86765,0.86831,0.92067,0.75209,0.76574,0.62589,1.17096,0.0004654,0.0004654,0.0004654
29,1497.52,0.28145,0.20961,0.82617,0.89148,0.85965,0.92939,0.75348,0.76495,0.627,1.16699,0.0004456,0.0004456,0.0004456
30,1549.62,0.27169,0.20408,0.82331,0.87703,0.86848,0.92342,0.7514,0.7584,0.65264,1.18962,0.0004258,0.0004258,0.0004258
31,1601.09,0.26022,0.195,0.81848,0.87655,0.87749,0.92822,0.7505,0.76827,0.62283,1.20239,0.000406,0.000406,0.000406
32,1652.46,0.25146,0.1898,0.81595,0.88896,0.87073,0.92684,0.75604,0.74782,0.62099,1.1631,0.0003862,0.0003862,0.0003862
33,1704.52,0.24556,0.18644,0.81315,0.89845,0.84556,0.92262,0.75215,0.75116,0.64411,1.19954,0.0003664,0.0003664,0.0003664
34,1755.88,0.23698,0.18203,0.8102,0.87076,0.87135,0.92986,0.75903,0.76219,0.62021,1.21263,0.0003466,0.0003466,0.0003466
35,1807.23,0.22568,0.17367,0.80644,0.8823,0.87716,0.9397,0.76546,0.75702,0.61386,1.21075,0.0003268,0.0003268,0.0003268
36,1859.06,0.21905,0.1697,0.80402,0.84527,0.89543,0.92443,0.75469,0.75164,0.6295,1.19653,0.000307,0.000307,0.000307
37,1910.08,0.20972,0.16422,0.80164,0.88977,0.86759,0.92298,0.74541,0.76976,0.62986,1.23184,0.0002872,0.0002872,0.0002872
38,1961.52,0.19781,0.15462,0.79769,0.8716,0.8584,0.92882,0.75834,0.75124,0.6189,1.19445,0.0002674,0.0002674,0.0002674
39,2013.16,0.19095,0.15107,0.7953,0.80398,0.91513,0.92785,0.75666,0.7664,0.62324,1.22349,0.0002476,0.0002476,0.0002476
40,2064.69,0.18164,0.14536,0.79305,0.87237,0.86211,0.92657,0.75643,0.7628,0.62507,1.23709,0.0002278,0.0002278,0.0002278
