epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.5876,1.20711,2.27231,1.5034,0.63811,0.42109,0.52314,0.34009,1.34378,2.62581,1.65616,0.0670701,0.000332626,0.000332626
2,150.301,1.10494,1.53316,1.37509,0.5069,0.50763,0.56557,0.38103,1.23061,2.13892,1.51075,0.0340635,0.000659366,0.000659366
3,220.141,0.98198,1.1952,1.29212,0.54543,0.60598,0.67494,0.48011,1.09393,1.60946,1.4029,0.00105028,0.000979506,0.000979506
4,289.047,0.89166,0.94723,1.23405,0.7058,0.6814,0.75436,0.56395,1.04248,1.26154,1.35517,0.0009703,0.0009703,0.0009703
5,358.405,0.81269,0.7727,1.17233,0.71661,0.70665,0.81295,0.61567,0.96218,1.12845,1.31306,0.0009604,0.0009604,0.0009604
6,427.227,0.74681,0.67259,1.12513,0.72364,0.84751,0.85912,0.64824,0.95874,0.96004,1.32631,0.0009505,0.0009505,0.0009505
7,496.543,0.70458,0.5987,1.09514,0.70726,0.77464,0.84276,0.6356,0.95612,1.03258,1.31345,0.0009406,0.0009406,0.0009406
8,564.892,0.66216,0.53946,1.06473,0.8197,0.81097,0.88526,0.67754,0.88654,0.86822,1.25666,0.0009307,0.0009307,0.0009307
9,633.873,0.63738,0.49937,1.04699,0.8419,0.76232,0.87858,0.67776,0.89143,0.90855,1.26214,0.0009208,0.0009208,0.0009208
10,702.571,0.60144,0.47197,1.02474,0.79065,0.80095,0.85974,0.66029,0.90043,0.92043,1.27577,0.0009109,0.0009109,0.0009109
11,771.069,0.57456,0.44102,1.00702,0.75609,0.89095,0.89198,0.69232,0.85303,0.79096,1.24584,0.000901,0.000901,0.000901
12,840.459,0.54808,0.42119,0.98923,0.80397,0.7899,0.8697,0.67405,0.87306,0.85852,1.26734,0.0008911,0.0008911,0.0008911
13,909.08,0.53065,0.40166,0.97756,0.85911,0.79498,0.89212,0.6902,0.85966,0.7673,1.26529,0.0008812,0.0008812,0.0008812
14,978.176,0.51807,0.38961,0.96769,0.81741,0.88568,0.90701,0.72919,0.82421,0.73845,1.24709,0.0008713,0.0008713,0.0008713
15,1046.93,0.50109,0.36411,0.95554,0.81303,0.87719,0.89962,0.70549,0.88102,0.71641,1.29333,0.0008614,0.0008614,0.0008614
16,1115.96,0.4795,0.35714,0.94287,0.79886,0.85194,0.89878,0.70437,0.85693,0.77839,1.26359,0.0008515,0.0008515,0.0008515
17,1184.36,0.47144,0.35029,0.93739,0.81394,0.81828,0.86538,0.68094,0.84674,0.78148,1.26757,0.0008416,0.0008416,0.0008416
18,1253.29,0.45377,0.33544,0.92677,0.84235,0.81172,0.89465,0.70193,0.82512,0.74038,1.25953,0.0008317,0.0008317,0.0008317
19,1322.05,0.44965,0.32821,0.92354,0.80221,0.8643,0.89238,0.69926,0.87188,0.76647,1.29555,0.0008218,0.0008218,0.0008218
20,1390.54,0.43031,0.31712,0.91218,0.82635,0.85728,0.91551,0.7299,0.83699,0.7315,1.26337,0.0008119,0.0008119,0.0008119
21,1459.83,0.42074,0.30469,0.90571,0.86285,0.84105,0.91988,0.71849,0.85288,0.69169,1.28637,0.000802,0.000802,0.000802
22,1528.81,0.40303,0.29964,0.89731,0.83494,0.82406,0.89629,0.71814,0.85289,0.72985,1.29723,0.0007921,0.0007921,0.0007921
23,1597.87,0.39766,0.29289,0.89295,0.82567,0.85295,0.90559,0.7296,0.8191,0.70547,1.25459,0.0007822,0.0007822,0.0007822
24,1666.53,0.39378,0.28588,0.88845,0.80847,0.8351,0.88779,0.70849,0.83003,0.72962,1.27085,0.0007723,0.0007723,0.0007723
25,1735.46,0.38397,0.28119,0.88311,0.8711,0.84108,0.91264,0.72816,0.82568,0.69244,1.26723,0.0007624,0.0007624,0.0007624
26,1804.61,0.37347,0.27283,0.87914,0.82731,0.84773,0.90374,0.72388,0.82223,0.70607,1.28743,0.0007525,0.0007525,0.0007525
27,1873.54,0.37177,0.27379,0.87741,0.80019,0.87313,0.90244,0.71098,0.82339,0.67803,1.28483,0.0007426,0.0007426,0.0007426
28,1942.65,0.36047,0.26861,0.87203,0.88426,0.79985,0.89678,0.71469,0.84743,0.71564,1.31876,0.0007327,0.0007327,0.0007327
29,2011.24,0.35349,0.26126,0.86764,0.84175,0.82692,0.90425,0.72888,0.80752,0.69722,1.26863,0.0007228,0.0007228,0.0007228
