epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.331,1.2122,2.40221,1.53158,0.38716,0.56232,0.49429,0.30788,1.32141,3.5008,1.64779,0.0670701,0.000332626,0.000332626
2,199.422,1.11455,1.58901,1.41513,0.54387,0.58444,0.64263,0.43672,1.14956,1.7514,1.49099,0.0340635,0.000659366,0.000659366
3,290.404,1.00336,1.24473,1.32711,0.581,0.72819,0.74855,0.54882,1.05899,1.31384,1.40906,0.00105028,0.000979506,0.000979506
4,380.516,0.89133,0.9703,1.24529,0.71385,0.73201,0.80711,0.58655,1.01348,1.09815,1.38068,0.0009703,0.0009703,0.0009703
5,471.254,0.81938,0.81586,1.1902,0.70205,0.75888,0.82223,0.61886,0.93638,1.11541,1.31429,0.0009604,0.0009604,0.0009604
6,561.962,0.75129,0.70413,1.14205,0.74699,0.80239,0.85489,0.64661,0.95632,0.96952,1.35183,0.0009505,0.0009505,0.0009505
7,652.162,0.70585,0.61336,1.11011,0.75741,0.82396,0.86723,0.65404,0.95014,0.90535,1.30666,0.0009406,0.0009406,0.0009406
8,742.535,0.67469,0.56621,1.08868,0.76575,0.80748,0.8682,0.66406,0.91199,0.93934,1.29332,0.0009307,0.0009307,0.0009307
9,833.114,0.64335,0.52548,1.0646,0.83727,0.81266,0.89896,0.68943,0.88921,0.82443,1.29492,0.0009208,0.0009208,0.0009208
10,922.936,0.61404,0.49041,1.0434,0.83055,0.79342,0.88227,0.68924,0.86874,0.79494,1.26865,0.0009109,0.0009109,0.0009109
11,1012.78,0.58836,0.45405,1.02569,0.82452,0.82197,0.89543,0.69153,0.88559,0.80002,1.3027,0.000901,0.000901,0.000901
12,1103.04,0.5589,0.43428,1.00537,0.84001,0.88738,0.92615,0.72696,0.83325,0.70714,1.24975,0.0008911,0.0008911,0.0008911
13,1193.47,0.5408,0.40632,0.99262,0.83647,0.83983,0.91184,0.72435,0.83185,0.69755,1.2576,0.0008812,0.0008812,0.0008812
14,1283.55,0.51749,0.39201,0.97858,0.84917,0.83749,0.90028,0.71271,0.8198,0.74569,1.22786,0.0008713,0.0008713,0.0008713
15,1373.54,0.49935,0.38124,0.96773,0.80577,0.83123,0.89906,0.69732,0.84365,0.74836,1.25386,0.0008614,0.0008614,0.0008614
16,1464.36,0.4851,0.36305,0.95708,0.87987,0.83407,0.91924,0.7314,0.82061,0.68831,1.24969,0.0008515,0.0008515,0.0008515
17,1554.72,0.47086,0.35442,0.94639,0.8264,0.86829,0.90871,0.72388,0.83242,0.68403,1.27256,0.0008416,0.0008416,0.0008416
