epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.6063,1.20476,2.83823,1.41401,0.37408,0.46818,0.46836,0.3192,1.21196,2.44697,1.46778,0.0670701,0.000332626,0.000332626
2,106.687,0.9707,1.43098,1.21758,0.56108,0.68485,0.69593,0.50959,1.04258,1.55694,1.2899,0.0340371,0.000632994,0.000632994
3,155.612,0.8727,1.08401,1.14638,0.6618,0.71432,0.75876,0.56924,0.98604,1.2396,1.22898,0.000971134,0.000900362,0.000900362
4,203.82,0.79694,0.85598,1.09752,0.68612,0.81326,0.81714,0.62483,0.90938,1.03288,1.18531,0.0008515,0.0008515,0.0008515
5,251.842,0.72052,0.71729,1.04854,0.67089,0.77656,0.81889,0.63159,0.88822,1.15055,1.17599,0.000802,0.000802,0.000802
6,299.939,0.67235,0.6276,1.01466,0.81488,0.7803,0.85817,0.67025,0.87512,0.96959,1.18827,0.0007525,0.0007525,0.0007525
7,348.005,0.62215,0.53828,0.98776,0.805,0.85775,0.89604,0.69922,0.86527,0.85382,1.17138,0.000703,0.000703,0.000703
8,396.295,0.58052,0.4955,0.96429,0.79501,0.84769,0.88745,0.69389,0.85362,0.84141,1.14977,0.0006535,0.0006535,0.0006535
9,444.228,0.54304,0.44791,0.94349,0.8318,0.82946,0.88322,0.69472,0.81733,0.86238,1.13942,0.000604,0.000604,0.000604
10,492.021,0.51099,0.40794,0.92536,0.84179,0.87149,0.90968,0.71789,0.81874,0.77493,1.1585,0.0005545,0.0005545,0.0005545
11,542.025,0.47251,0.37779,0.90363,0.85064,0.84341,0.90672,0.72014,0.79231,0.74692,1.15743,0.000505,0.000505,0.000505
12,590.07,0.44051,0.35028,0.89015,0.85321,0.86343,0.9174,0.73959,0.79225,0.71996,1.14771,0.0004555,0.0004555,0.0004555
13,638.528,0.41009,0.32475,0.87527,0.83016,0.88445,0.91063,0.72785,0.79726,0.71086,1.15808,0.000406,0.000406,0.000406
14,686.684,0.3774,0.30063,0.86129,0.88856,0.87154,0.92624,0.74736,0.75647,0.70542,1.117,0.0003565,0.0003565,0.0003565
15,735.295,0.34681,0.27738,0.84872,0.83267,0.89034,0.91876,0.74257,0.76859,0.68982,1.13266,0.000307,0.000307,0.000307
16,783.085,0.31901,0.25548,0.83823,0.84368,0.88449,0.91491,0.74152,0.76439,0.70564,1.14533,0.0002575,0.0002575,0.0002575
17,830.942,0.29421,0.24096,0.8299,0.85784,0.87456,0.92305,0.74658,0.76048,0.66808,1.16076,0.000208,0.000208,0.000208
18,879.431,0.26561,0.22287,0.81981,0.85231,0.89088,0.91937,0.74075,0.75613,0.68688,1.12943,0.0001585,0.0001585,0.0001585
19,927.606,0.24046,0.20695,0.81202,0.85965,0.87907,0.91921,0.7476,0.7397,0.6724,1.13132,0.000109,0.000109,0.000109
20,976.013,0.21542,0.1928,0.80602,0.87205,0.86674,0.92168,0.75306,0.74374,0.68083,1.13621,5.95e-05,5.95e-05,5.95e-05
