epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.9321,1.20476,2.83823,1.41401,0.37408,0.46818,0.46836,0.3192,1.21196,2.44697,1.46778,0.0670701,0.000332626,0.000332626
2,106.192,0.97557,1.44557,1.22603,0.561,0.56904,0.63614,0.44776,1.10076,1.72791,1.31864,0.0340569,0.000652773,0.000652773
3,155.029,0.88679,1.09173,1.15586,0.66342,0.75869,0.78215,0.58017,0.98338,1.24159,1.23744,0.00103049,0.00095972,0.00095972
4,202.805,0.81791,0.89477,1.10937,0.71963,0.76147,0.81828,0.61153,0.95255,1.15665,1.20544,0.0009406,0.0009406,0.0009406
5,250.937,0.74707,0.75304,1.06298,0.74798,0.69418,0.79888,0.59404,0.98198,1.25371,1.24138,0.0009208,0.0009208,0.0009208
6,299.216,0.69288,0.65007,1.0323,0.8043,0.77194,0.87103,0.66582,0.90511,0.96888,1.19912,0.000901,0.000901,0.000901
7,347.428,0.65662,0.59631,1.01108,0.86347,0.83261,0.91023,0.70344,0.87141,0.79639,1.16973,0.0008812,0.0008812,0.0008812
8,395.597,0.61488,0.53737,0.98454,0.80217,0.85368,0.89666,0.70025,0.86688,0.87471,1.19048,0.0008614,0.0008614,0.0008614
9,444.055,0.59362,0.49154,0.97215,0.82651,0.80536,0.89208,0.69363,0.89038,0.88879,1.18957,0.0008416,0.0008416,0.0008416
10,492.101,0.57049,0.45644,0.95962,0.85898,0.80108,0.89531,0.70952,0.82446,0.78681,1.15303,0.0008218,0.0008218,0.0008218
11,540.083,0.5368,0.43305,0.94061,0.82106,0.82982,0.8937,0.68981,0.83941,0.82632,1.1775,0.000802,0.000802,0.000802
12,588.548,0.50969,0.40099,0.92496,0.88815,0.82225,0.92948,0.74569,0.78954,0.69435,1.12492,0.0007822,0.0007822,0.0007822
13,636.708,0.48855,0.38803,0.91453,0.85006,0.87501,0.92393,0.73202,0.83485,0.72429,1.1799,0.0007624,0.0007624,0.0007624
14,685.065,0.46879,0.36704,0.90315,0.84633,0.85477,0.91718,0.7325,0.79915,0.67104,1.15573,0.0007426,0.0007426,0.0007426
15,733.565,0.45698,0.35739,0.89701,0.84678,0.85524,0.92062,0.74079,0.80123,0.683,1.1612,0.0007228,0.0007228,0.0007228
16,782.124,0.44345,0.34194,0.89007,0.86954,0.86825,0.92287,0.74475,0.7866,0.67628,1.15334,0.000703,0.000703,0.000703
17,830.04,0.42515,0.33142,0.88121,0.83385,0.88038,0.91657,0.72365,0.80692,0.69058,1.1807,0.0006832,0.0006832,0.0006832
18,878.439,0.41104,0.31527,0.87446,0.87465,0.88097,0.93286,0.74818,0.79635,0.65791,1.1677,0.0006634,0.0006634,0.0006634
19,926.807,0.4005,0.30431,0.86898,0.90272,0.84869,0.92426,0.73982,0.82307,0.65739,1.21728,0.0006436,0.0006436,0.0006436
20,974.643,0.38361,0.29479,0.86156,0.87661,0.88807,0.93524,0.75165,0.79304,0.63667,1.15001,0.0006238,0.0006238,0.0006238
21,1023.1,0.36865,0.28531,0.85439,0.88034,0.85538,0.92785,0.74614,0.78632,0.64659,1.17397,0.000604,0.000604,0.000604
22,1071.4,0.36009,0.27386,0.85081,0.89699,0.86665,0.9242,0.7476,0.80045,0.64842,1.17876,0.0005842,0.0005842,0.0005842
23,1119.96,0.34322,0.26235,0.8443,0.87844,0.83839,0.92115,0.73975,0.7985,0.67454,1.171,0.0005644,0.0005644,0.0005644
24,1168.35,0.33486,0.25516,0.84037,0.89986,0.80715,0.92559,0.74956,0.77844,0.66101,1.16671,0.0005446,0.0005446,0.0005446
25,1216.45,0.3283,0.24929,0.83816,0.87187,0.87814,0.92522,0.74636,0.78112,0.59966,1.18767,0.0005248,0.0005248,0.0005248
26,1264.83,0.31549,0.23887,0.83338,0.84887,0.88122,0.91546,0.7493,0.77881,0.65182,1.18226,0.000505,0.000505,0.000505
27,1313.15,0.30644,0.23301,0.82908,0.89228,0.83356,0.92135,0.74554,0.7766,0.65255,1.17149,0.0004852,0.0004852,0.0004852
28,1361.37,0.29381,0.22689,0.82453,0.84437,0.90893,0.93639,0.76326,0.75477,0.62082,1.16679,0.0004654,0.0004654,0.0004654
29,1409.66,0.28309,0.22081,0.82013,0.86966,0.89188,0.93979,0.75722,0.77162,0.59944,1.18038,0.0004456,0.0004456,0.0004456
30,1458.25,0.27266,0.21274,0.81753,0.89461,0.86604,0.93903,0.76404,0.76701,0.63033,1.18665,0.0004258,0.0004258,0.0004258
31,1506.07,0.26441,0.20478,0.81438,0.89949,0.87321,0.93827,0.75633,0.77841,0.6178,1.18695,0.000406,0.000406,0.000406
32,1554.12,0.2555,0.19838,0.81133,0.89885,0.87165,0.92995,0.75068,0.77346,0.64543,1.18429,0.0003862,0.0003862,0.0003862
33,1602.47,0.24933,0.19598,0.80872,0.87916,0.87254,0.93061,0.75698,0.76572,0.62946,1.19351,0.0003664,0.0003664,0.0003664
34,1650.6,0.24006,0.18904,0.80601,0.90701,0.83617,0.92306,0.75153,0.75551,0.62104,1.18827,0.0003466,0.0003466,0.0003466
35,1698.52,0.23062,0.18162,0.80346,0.86637,0.89772,0.93027,0.75753,0.75587,0.64597,1.18834,0.0003268,0.0003268,0.0003268
36,1746.32,0.21967,0.17634,0.80007,0.90925,0.86335,0.94029,0.76571,0.74902,0.61583,1.17027,0.000307,0.000307,0.000307
37,1795.08,0.2135,0.17214,0.79829,0.90634,0.85097,0.93439,0.76287,0.74737,0.65455,1.17712,0.0002872,0.0002872,0.0002872
38,1843.56,0.20103,0.16404,0.79462,0.90234,0.84651,0.93562,0.76402,0.75343,0.62506,1.18999,0.0002674,0.0002674,0.0002674
39,1892.08,0.1921,0.15807,0.79241,0.89931,0.87071,0.93887,0.76166,0.75754,0.61056,1.19954,0.0002476,0.0002476,0.0002476
40,1940.22,0.18748,0.15379,0.79104,0.89246,0.87389,0.94196,0.76912,0.75949,0.60726,1.19511,0.0002278,0.0002278,0.0002278
41,1990.09,0.1798,0.14845,0.79048,0.92607,0.85478,0.94101,0.77164,0.76008,0.571,1.20626,0.000208,0.000208,0.000208
42,2038.69,0.17068,0.14364,0.78735,0.88754,0.88835,0.94374,0.76932,0.75051,0.57273,1.20378,0.0001882,0.0001882,0.0001882
43,2086.95,0.16129,0.13827,0.78518,0.88375,0.88985,0.93834,0.76743,0.75642,0.58583,1.19584,0.0001684,0.0001684,0.0001684
44,2135.26,0.15212,0.13188,0.78306,0.86774,0.89663,0.94001,0.76595,0.75309,0.58466,1.22079,0.0001486,0.0001486,0.0001486
45,2183.89,0.14452,0.1271,0.78193,0.87017,0.90218,0.94655,0.77426,0.74811,0.58934,1.20299,0.0001288,0.0001288,0.0001288
46,2232.18,0.13552,0.12183,0.78034,0.87245,0.90046,0.94338,0.77358,0.75712,0.59518,1.21366,0.000109,0.000109,0.000109
47,2280.9,0.13189,0.11941,0.7803,0.90063,0.86319,0.9421,0.77086,0.7508,0.5964,1.20431,8.92e-05,8.92e-05,8.92e-05
